h1,h2,h3
1,1,00
2,1,00
3,2,00
4,1,00
5,1,00
6,2,00
7,1,00
8,1,00
9,2,00
10,1,00
11,1,00
12,113,00
13,175,00
14,339,00
15,226,00
16,339,00
17,341,00
18,228,00
19,115,00
20,113,00
21,175,00
22,139,00
23,184,00
24,339,00
25,226,00
26,9379,00
27,13560,00
28,13334,00
29,20001,00
30,21583,00
31,15142,00
32,12882,00
33,16159,00
34,15820,00
35,14916,00
36,15029,00
37,16159,00
38,19436,00
39,17515,00
40,16724,00
41,18532,00
42,17854,00
43,17402,00
44,17402,00
45,15142,00
46,18645,00
47,16724,00
48,17289,00
49,18984,00
50,18758,00
51,18984,00
52,18645,00
53,16159,00
54,18871,00
55,18871,00
56,18080,00
57,18532,00
58,19662,00
59,21244,00
60,21131,00
61,20792,00
62,20905,00
63,20566,00
64,20453,00
65,20905,00
66,21131,00
67,18871,00
68,21244,00
69,9988,00
70,14690,00
71,13108,00
72,13334,00
73,13221,00
74,12995,00
75,13221,00
76,13673,00
77,18419,00
78,18193,00
79,18306,00
80,17854,00
81,16724,00
82,18645,00
83,20227,00
84,17967,00
85,17967,00
86,18758,00
87,18419,00
88,19662,00
89,20114,00
90,17628,00
91,18193,00
92,18645,00
93,18758,00
94,18419,00
95,16272,00
96,19210,00
97,17967,00
98,18193,00
99,19210,00
100,18871,00
101,17967,00
102,18758,00
103,20453,00
104,9380,00
105,13447,00
106,15255,00
107,15707,00
108,13560,00
109,11526,00
110,13673,00
111,13334,00
112,18984,00
113,19662,00
114,18419,00
115,20227,00
116,18080,00
117,18871,00
118,17628,00
119,18645,00
120,18984,00
121,19549,00
122,20340,00
123,16498,00
124,18758,00
125,17967,00
126,19436,00
127,17515,00
128,18306,00
129,17289,00
130,20453,00
131,21696,00
132,21018,00
133,20679,00
134,21696,00
135,20566,00
136,20227,00
137,18871,00
138,20566,00
139,19888,00
140,13560,00
141,13899,00
142,13560,00
143,12317,00
144,13673,00
145,12656,00
146,12091,00
147,18193,00
148,18080,00
149,18984,00
150,16950,00
151,16385,00
152,17402,00
153,17402,00
154,17515,00
155,17967,00
156,17515,00
157,18193,00
158,18758,00
159,18532,00
160,19775,00
161,17628,00
162,17628,00
163,17402,00
164,17628,00
165,16724,00
166,18871,00
167,18984,00
168,19323,00
169,21018,00
170,18871,00
171,18306,00
172,19436,00
173,20340,00
174,20679,00
175,20340,00
176,19549,00
177,19662,00
178,13899,00
179,14690,00
180,8249,00
181,6441,00
182,6102,00
183,6780,00
184,5311,00
185,11978,00
186,12656,00
187,11639,00
188,8588,00
189,14238,00
190,13447,00
191,10735,00
192,15142,00
193,11300,00
194,9266,00
195,19775,00
196,18532,00
197,15933,00
198,15820,00
199,16498,00
200,13560,00
201,11865,00
202,15820,00
203,15368,00
204,14916,00
205,15481,00
206,13447,00
207,16272,00
208,15594,00
209,17176,00
210,11526,00
211,14577,00
212,16272,00
213,16498,00
214,17628,00
215,17289,00
216,16159,00
217,10622,00
218,16950,00
219,17063,00
220,14125,00
221,9605,00
222,15933,00
223,15142,00
224,11074,00
225,16159,00
226,15481,00
227,17063,00
228,17402,00
229,19549,00
230,18306,00
231,19323,00
232,17628,00
233,19436,00
234,18532,00
235,14230,00
236,20201,00
237,17628,00
238,13841,00
239,13334,00
240,20284,00
241,14125,00
242,21583,00
243,6893,00
244,14238,00
245,16046,00
246,9831,00
247,11074,00
248,5650,00
249,10622,00
250,10848,00
251,10509,00
252,8023,00
253,10622,00
254,12543,00
255,14577,00
256,16724,00
257,16837,00
258,15368,00
259,10735,00
260,14238,00
261,17062,00
262,14238,00
263,14238,00
264,10283,00
265,13786,00
266,15707,00
267,16611,00
268,14577,00
269,17289,00
270,17402,00
271,15255,00
272,16159,00
273,16498,00
274,8136,00
275,15368,00
276,12543,00
277,14803,00
278,12317,00
279,13899,00
280,14577,00
281,11949,00
282,10170,00
283,15142,00
284,18532,00
285,16046,00
286,16724,00
287,17063,00
288,16046,00
289,11413,00
290,15594,00
291,18984,00
292,15142,00
293,12317,00
294,16498,00
295,14351,00
296,17289,00
297,12430,00
298,18419,00
299,16950,00
300,16498,00
301,18310,00
302,13163,00
303,13782,00
304,15142,00
305,11526,00
306,21244,00
307,23165,02
308,14125,00
309,7458,00
310,11300,00
311,11639,00
312,9831,00
313,12543,00
314,11865,00
315,13560,00
316,10170,00
317,12091,00
318,10622,00
319,14916,00
320,12317,00
321,17063,00
322,8136,00
323,10509,00
324,113,00
325,5424,00
326,154,00
327,175,00
328,175,00
329,157,00
330,16159,00
331,17967,00
332,16498,00
333,16837,00
334,10170,00
335,21951,00
336,17854,00
337,17289,00
338,16498,00
339,13447,00
340,10735,00
341,15707,00
342,16159,00
343,8136,00
344,16272,00
345,16385,00
346,9831,00
347,14577,00
348,11865,00
349,17628,00
350,19323,00
351,18645,00
352,19210,00
353,18871,00
354,19436,00
355,16611,00
356,15029,00
357,15707,00
358,13221,00
359,18871,00
360,20566,00
361,16837,00
362,12317,00
363,16837,00
364,19904,00
365,20679,00
366,18419,00
367,23391,02
368,20905,00
369,21696,00
370,15142,00
371,13673,00
372,13221,00
373,13447,00
374,17515,00
375,13673,00
376,10961,00
377,10961,00
378,11300,00
379,11865,00
380,10057,00
381,18532,00
382,18193,00
383,18532,00
384,17515,00
385,17289,00
386,18532,00
387,17515,00
388,18178,00
389,17515,00
390,16837,00
391,14803,00
392,15707,00
393,11052,00
394,13447,00
395,13899,00
396,15029,00
397,10509,00
398,145,00
399,13673,00
400,17515,00
401,15255,00
402,10848,00
403,14464,00
404,12995,00
405,15142,00
406,15707,00
407,14351,00
408,14916,00
409,10622,00
410,16837,00
411,12317,00
412,19210,00
413,14690,00
414,17854,00
415,19210,00
416,16046,00
417,19323,00
418,19224,00
419,19775,00
420,18645,00
421,18984,00
422,13221,00
423,16272,00
424,20453,00
425,18984,00
426,17063,00
427,18871,00
428,17063,00
429,14238,00
430,16498,00
431,1921,00
432,12317,00
433,10170,00
434,11865,00
435,6441,00
436,12656,00
437,11187,00
438,10735,00
439,10170,00
440,8362,00
441,13673,00
442,14577,00
443,13560,00
444,16950,00
445,14916,00
446,12543,00
447,15933,00
448,8362,00
449,13673,00
450,18193,00
451,16950,00
452,14125,00
453,17289,00
454,19436,00
455,15933,00
456,16837,00
457,13108,00
458,11413,00
459,15820,00
460,18306,00
461,9944,00
462,16950,00
463,19097,00
464,4181,00
465,1017,00
466,6102,00
467,113,00
468,113,00
469,113,00
470,175,00
471,12430,00
472,2260,00
473,3277,00
474,3164,00
475,3277,00
476,7684,00
477,7684,00
478,12091,00
479,3164,00
480,2825,00
481,1695,00
482,3277,00
483,7571,00
484,4068,00
485,7345,00
486,9040,00
487,127,00
488,3729,00
489,10943,00
490,21922,00
491,16716,00
492,13560,00
493,8475,00
494,15029,00
495,6441,00
496,113,00
497,175,00
498,175,00
499,2260,00
500,6780,00
501,13786,00
502,12091,00
503,11187,00
504,15707,00
505,16272,00
506,19210,00
507,20453,00
508,19662,00
509,12543,00
510,15594,00
511,15142,00
512,14916,00
513,14916,00
514,12430,00
515,17289,00
516,15368,00
517,17515,00
518,9536,00
519,15933,00
520,11978,00
521,16498,00
522,18193,00
523,13334,00
524,16829,00
525,17741,00
526,13447,00
527,17967,00
528,12656,00
529,14351,00
530,14803,00
531,16498,00
532,17854,00
533,16498,00
534,12995,00
535,16950,00
536,11752,00
537,21131,00
538,15707,00
539,3051,00
540,8023,00
541,3729,00
542,7006,00
543,8588,00
544,8249,00
545,11300,00
546,9831,00
547,6554,00
548,10848,00
549,12543,00
550,14125,00
551,15820,00
552,15481,00
553,16611,00
554,8588,00
555,15317,00
556,9831,00
557,18102,00
558,12543,00
559,10057,00
560,15707,00
561,13108,00
562,15142,00
563,13786,00
564,14125,00
565,14690,00
566,8701,00
567,15707,00
568,12230,00
569,16344,00
570,9040,00
571,15594,00
572,16498,00
573,15707,00
574,9944,00
575,7345,00
576,3051,00
577,7910,00
578,9718,00
579,10396,00
580,4972,00
581,16159,00
582,21131,00
583,20114,00
584,14803,00
585,18871,00
586,11187,00
587,16950,00
588,15368,00
589,17402,00
590,19323,00
591,15481,00
592,18532,00
593,12430,00
594,16264,00
595,18758,00
596,16272,00
597,19210,00
598,14660,00
599,17741,00
600,20227,00
601,21281,00
602,7797,00
603,10057,00
604,9718,00
605,5763,00
606,10283,00
607,12656,00
608,12769,00
609,12430,00
610,9379,00
611,11074,00
612,11300,00
613,14577,00
614,15481,00
615,20679,00
616,17854,00
617,19210,00
618,18193,00
619,16837,00
620,18645,00
621,16724,00
622,19549,00
623,16611,00
624,9379,00
625,15029,00
626,10848,00
627,18871,00
628,121,00
629,10396,00
630,12656,00
631,13786,00
632,16837,00
633,13221,00
634,15041,00
635,10057,00
636,14351,00
637,10283,00
638,14577,00
639,17515,00
640,15142,00
641,17402,00
642,14351,00
643,12882,00
644,3164,00
645,113,00
646,121,00
647,2825,00
648,136,00
649,113,00
650,175,00
651,3051,00
652,3955,00
653,7684,00
654,9718,00
655,3842,00
656,9492,00
657,14357,00
658,16159,00
659,17967,00
660,16611,00
661,17063,00
662,18645,00
663,14012,00
664,18801,00
665,20905,00
666,18645,00
667,19122,00
668,15255,00
669,19079,00
670,20751,00
671,16159,00
672,19818,00
673,21244,00
674,175,00
675,16611,00
676,11413,00
677,14125,00
678,12204,00
679,13334,00
680,12204,00
681,11526,00
682,10622,00
683,12882,00
684,15029,00
685,13447,00
686,14351,00
687,16159,00
688,11690,00
689,17176,00
690,18645,00
691,11534,00
692,15142,00
693,17289,00
694,11413,00
695,15594,00
696,13334,00
697,16046,00
698,12995,00
699,16159,00
700,16272,00
701,10396,00
702,14803,00
703,14875,00
704,15247,00
705,8475,00
706,17741,00
707,14916,00
708,16159,00
709,13334,00
710,10622,00
711,12543,00
712,17854,00
713,15820,00
714,11526,00
715,16611,00
716,20453,00
717,4859,00
718,9718,00
719,11300,00
720,4859,00
721,10735,00
722,12430,00
723,10509,00
724,7006,00
725,10283,00
726,10961,00
727,10170,00
728,13560,00
729,9831,00
730,17063,00
731,18532,00
732,16837,00
733,17402,00
734,13295,00
735,12874,00
736,12204,00
737,18645,00
738,10057,00
739,21131,00
740,20453,00
741,15707,00
742,16498,00
743,17515,00
744,10170,00
745,16159,00
746,20340,00
747,16611,00
748,15255,00
749,10848,00
750,15594,00
751,15933,00
752,11413,00
753,15933,00
754,14523,00
755,10622,00
756,15029,00
757,17628,00
758,18193,00
759,16724,00
760,14803,00
761,15029,00
762,9718,00
763,16837,00
764,18758,00
765,16837,00
766,12091,00
767,12656,00
768,14238,00
769,17628,00
770,113,00
771,452,00
772,5311,00
773,5424,00
774,21131,00
775,6328,00
776,15481,00
777,1921,00
778,8023,00
779,175,00
780,175,00
781,113,00
782,175,00
783,175,00
784,5537,00
785,113,00
786,5085,00
787,113,00
788,175,00
789,113,00
790,175,00
791,142,00
792,175,00
793,124,00
794,175,00
795,8927,00
796,2938,00
797,2373,00
798,2712,00
799,15831,00
800,10509,00
801,15882,00
802,15707,00
803,17063,00
804,17402,00
805,11526,00
806,11639,00
807,15707,00
808,22713,02
809,20114,00
810,20001,00
811,21357,00
812,20566,00
813,19775,00
814,21809,00
815,19549,00
816,20679,00
817,12656,00
818,17515,00
819,17289,00
820,19323,00
821,21809,00
822,22489,00
823,17515,00
824,17967,00
825,16837,00
826,18419,00
827,18532,00
828,17402,00
829,17628,00
830,12769,00
831,16837,00
832,16611,00
833,15933,00
834,16837,00
835,17515,00
836,17854,00
837,20792,00
838,20558,00
839,16983,00
840,18532,00
841,15631,00
842,15481,00
843,20350,00
844,18419,00
845,18758,00
846,19662,00
847,3390,00
848,11526,00
849,9153,00
850,9153,00
851,14125,00
852,12430,00
853,10735,00
854,5989,00
855,8249,00
856,14803,00
857,9944,00
858,15368,00
859,11074,00
860,17063,00
861,17063,00
862,17967,00
863,15368,00
864,9266,00
865,16950,00
866,18758,00
867,15481,00
868,16611,00
869,17176,00
870,15142,00
871,18193,00
872,18193,00
873,20227,00
874,17176,00
875,18080,00
876,17289,00
877,11639,00
878,17063,00
879,10170,00
880,17176,00
881,13560,00
882,12317,00
883,10848,00
884,15481,00
885,15315,00
886,15572,00
887,18193,00
888,15029,00
889,19210,00
890,19549,00
891,16950,00
892,15707,00
893,15368,00
894,17741,00
895,15933,00
896,17176,00
897,13899,00
898,19210,00
899,17741,00
900,20114,00
901,21018,00
902,19210,00
903,16385,00
904,21470,00
905,19323,00
906,21583,00
907,18645,00
908,16611,00
909,14125,00
910,19436,00
911,5991,00
912,11413,00
913,10848,00
914,11300,00
915,12430,00
916,3729,00
917,11074,00
918,8475,00
919,9040,00
920,13334,00
921,10961,00
922,8136,00
923,15255,00
924,10509,00
925,139,00
926,2147,00
927,175,00
928,113,00
929,175,00
930,20905,00
931,18645,00
932,20905,00
933,20679,00
934,19436,00
935,19549,00
936,18758,00
937,18871,00
938,11074,00
939,18758,00
940,19210,00
941,17322,00
942,19210,00
943,15707,00
944,10509,00
945,16072,00
946,17515,00
947,17515,00
948,15707,00
949,14012,00
950,16498,00
951,17967,00
952,16159,00
953,17176,00
954,18871,00
955,11187,00
956,17854,00
957,20422,00
958,18871,00
959,18193,00
960,12543,00
961,19210,00
962,17289,00
963,18758,00
964,19210,00
965,20340,00
966,15449,00
967,19097,00
968,19888,00
969,5198,00
970,9379,00
971,7345,00
972,11074,00
973,13560,00
974,11526,00
975,8136,00
976,11526,00
977,10057,00
978,11865,00
979,12656,00
980,6554,00
981,12543,00
982,16159,00
983,10622,00
984,15255,00
985,14916,00
986,13221,00
987,13899,00
988,14916,00
989,14012,00
990,14238,00
991,10057,00
992,16159,00
993,13560,00
994,11978,00
995,11978,00
996,14577,00
997,9379,00
998,15255,00
999,17402,00
1000,14803,00
1001,14690,00
1002,14690,00
1003,14690,00
1004,21922,00
1005,14125,00
1006,15820,00
1007,10283,00
1008,18306,00
1009,16724,00
1010,20227,00
1011,21922,00
1012,5876,00
1013,13108,00
1014,10848,00
1015,12882,00
1016,13786,00
1017,11413,00
1018,13560,00
1019,9153,00
1020,14012,00
1021,7910,00
1022,13334,00
1023,11865,00
1024,14916,00
1025,9153,00
1026,15481,00
1027,175,00
1028,2034,00
1029,5311,00
1030,3616,00
1031,3390,00
1032,2712,00
1033,133,00
1034,118,00
1035,13786,00
1036,16611,00
1037,17402,00
1038,16950,00
1039,14577,00
1040,10509,00
1041,16950,00
1042,15368,00
1043,15029,00
1044,16159,00
1045,15255,00
1046,12091,00
1047,14577,00
1048,15368,00
1049,11526,00
1050,14464,00
1051,15594,00
1052,15080,00
1053,14012,00
1054,16272,00
1055,14464,00
1056,11865,00
1057,12995,00
1058,14803,00
1059,10735,00
1060,16611,00
1061,14577,00
1062,12091,00
1063,16611,00
1064,17854,00
1065,15255,00
1066,19323,00
1067,17176,00
1068,21131,00
1069,16837,00
1070,18419,00
1071,16724,00
1072,19323,00
1073,12430,00
1074,16724,00
1075,14741,00
1076,13786,00
1077,16282,00
1078,17340,00
1079,20227,00
1080,20001,00
1081,18532,00
1082,16611,00
1083,15419,00
1084,18984,00
1085,22261,00
1086,16724,00
1087,11413,00
1088,14464,00
1089,10735,00
1090,5650,00
1091,14125,00
1092,14012,00
1093,15142,00
1094,8588,00
1095,10396,00
1096,6328,00
1097,11300,00
1098,17741,00
1099,15368,00
1100,10170,00
1101,16159,00
1102,15481,00
1103,13786,00
1104,11752,00
1105,16385,00
1106,15029,00
1107,15820,00
1108,14464,00
1109,16498,00
1110,14916,00
1111,14803,00
1112,15594,00
1113,12769,00
1114,16046,00
1115,17854,00
1116,15142,00
1117,16837,00
1118,11300,00
1119,17176,00
1120,18306,00
1121,15707,00
1122,15029,00
1123,2260,00
1124,10735,00
1125,9718,00
1126,4746,00
1127,13108,00
1128,9605,00
1129,2147,00
1130,5311,00
1131,16498,00
1132,15368,00
1133,14238,00
1134,16498,00
1135,18193,00
1136,17741,00
1137,17402,00
1138,18306,00
1139,14125,00
1140,15594,00
1141,12995,00
1142,13334,00
1143,14577,00
1144,16724,00
1145,20227,00
1146,4633,00
1147,12430,00
1148,5198,00
1149,12543,00
1150,6010,00
1151,15594,00
1152,3616,00
1153,13334,00
1154,9718,00
1155,11413,00
1156,7684,00
1157,16046,00
1158,15481,00
1159,12882,00
1160,13899,00
1161,11865,00
1162,16498,00
1163,16837,00
1164,20905,00
1165,18871,00
1166,20453,00
1167,20114,00
1168,19775,00
1169,20147,00
1170,14464,00
1171,15481,00
1172,15255,00
1173,11865,00
1174,15255,00
1175,11639,00
1176,14238,00
1177,10848,00
1178,11413,00
1179,17967,00
1180,14351,00
1181,18984,00
1182,15707,00
1183,16950,00
1184,17967,00
1185,14351,00
1186,16950,00
1187,13221,00
1188,15029,00
1189,16159,00
1190,8362,00
1191,17741,00
1192,16046,00
1193,17967,00
1194,19785,00
1195,19089,00
1196,19097,00
1197,18306,00
1198,20227,00
1199,15255,00
1200,11865,00
1201,7684,00
1202,8362,00
1203,12430,00
1204,14803,00
1205,13108,00
1206,13560,00
1207,5876,00
1208,9944,00
1209,10057,00
1210,12091,00
1211,16498,00
1212,17741,00
1213,18532,00
1214,17402,00
1215,11074,00
1216,17063,00
1217,16385,00
1218,14803,00
1219,15029,00
1220,13221,00
1221,175,00
1222,2486,00
1223,339,00
1224,2147,00
1225,904,00
1226,18758,00
1227,14464,00
1228,16950,00
1229,13786,00
1230,16724,00
1231,9153,00
1232,12995,00
1233,12204,00
1234,20340,00
1235,15481,00
1236,14803,00
1237,13899,00
1238,15820,00
1239,13786,00
1240,15481,00
1241,11187,00
1242,15481,00
1243,13525,00
1244,15255,00
1245,17628,00
1246,15368,00
1247,18306,00
1248,16950,00
1249,17402,00
1250,12204,00
1251,8701,00
1252,12204,00
1253,11187,00
1254,9831,00
1255,4764,00
1256,10509,00
1257,6554,00
1258,10170,00
1259,10848,00
1260,12091,00
1261,5198,00
1262,13899,00
1263,13334,00
1264,14125,00
1265,14464,00
1266,15594,00
1267,14577,00
1268,12317,00
1269,14690,00
1270,17402,00
1271,13899,00
1272,13221,00
1273,15029,00
1274,10735,00
1275,14012,00
1276,14577,00
1277,14012,00
1278,15368,00
1279,13786,00
1280,15368,00
1281,13899,00
1282,15481,00
1283,10848,00
1284,14238,00
1285,14238,00
1286,11074,00
1287,13334,00
1288,14264,00
1289,13673,00
1290,14351,00
1291,16385,00
1292,20340,00
1293,17515,00
1294,16837,00
1295,12995,00
1296,17176,00
1297,13560,00
1298,19888,00
1299,18758,00
1300,13334,00
1301,17741,00
1302,17628,00
1303,17515,00
1304,15820,00
1305,19210,00
1306,22713,02
1307,19097,00
1308,20453,00
1309,1808,00
1310,10509,00
1311,7571,00
1312,11978,00
1313,12204,00
1314,12995,00
1315,10396,00
1316,13899,00
1317,10848,00
1318,10735,00
1319,9153,00
1320,14125,00
1321,18871,00
1322,14803,00
1323,18532,00
1324,15481,00
1325,10735,00
1326,16272,00
1327,18080,00
1328,15142,00
1329,15029,00
1330,14916,00
1331,11187,00
1332,15707,00
1333,16498,00
1334,15933,00
1335,15029,00
1336,15029,00
1337,15029,00
1338,15142,00
1339,15255,00
1340,17854,00
1341,15820,00
1342,18532,00
1343,13560,00
1344,17063,00
1345,14690,00
1346,15427,00
1347,14690,00
1348,14803,00
1349,16950,00
1350,16498,00
1351,14690,00
1352,18503,00
1353,17967,00
1354,14238,00
1355,13221,00
1356,17402,00
1357,17402,00
1358,16611,00
1359,17289,00
1360,21244,00
1361,17402,00
1362,17289,00
1363,15594,00
1364,17063,00
1365,19549,00
1366,18306,00
1367,20227,00
1368,14690,00
1369,19759,00
1370,20905,00
1371,13899,00
1372,19360,00
1373,18456,00
1374,15737,00
1375,18080,00
1376,23956,02
1377,19323,00
1378,5876,00
1379,11413,00
1380,10509,00
1381,11526,00
1382,8362,00
1383,8136,00
1384,15707,00
1385,12543,00
1386,14723,00
1387,16611,00
1388,17854,00
1389,18984,00
1390,17096,00
1391,12656,00
1392,20453,00
1393,21583,00
1394,18419,00
1395,20001,00
1396,15594,00
1397,17967,00
1398,19775,00
1399,18532,00
1400,20114,00
1401,21131,00
1402,12769,00
1403,16272,00
1404,17854,00
1405,16950,00
1406,16272,00
1407,16046,00
1408,16385,00
1409,14803,00
1410,12178,00
1411,12404,00
1412,18758,00
1413,17854,00
1414,15368,00
1415,18193,00
1416,15142,00
1417,9718,00
1418,16950,00
1419,11978,00
1420,17854,00
1421,19097,00
1422,18532,00
1423,18645,00
1424,20905,00
1425,17515,00
1426,18758,00
1427,16837,00
1428,13673,00
1429,18871,00
1430,19549,00
1431,11187,00
1432,17176,00
1433,21018,00
1434,19436,00
1435,17402,00
1436,21018,00
1437,17854,00
1438,18645,00
1439,13826,00
1440,13597,00
1441,18645,00
1442,18242,00
1443,15346,00
1444,18532,00
1445,12882,00
1446,23843,02
1447,14916,00
1448,5424,00
1449,12204,00
1450,4746,00
1451,11526,00
1452,11187,00
1453,6780,00
1454,9492,00
1455,11639,00
1456,13334,00
1457,4407,00
1458,17289,00
1459,16950,00
1460,15707,00
1461,15594,00
1462,15594,00
1463,18080,00
1464,17402,00
1465,15820,00
1466,16611,00
1467,12995,00
1468,18419,00
1469,15933,00
1470,16724,00
1471,12995,00
1472,17402,00
1473,15255,00
1474,20566,00
1475,13221,00
1476,17854,00
1477,11300,00
1478,16498,00
1479,15368,00
1480,14817,00
1481,11300,00
1482,18984,00
